lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName
chapter1_kayo_001,doute,normal,Assets/Art/Backgrounds/white_room.png,えっと、こんにちはー……,chapter1_kayo_002,,,
chapter1_kayo_002,kayo,normal,,こんにちは……,chapter1_kayo_003,,,
chapter1_kayo_003,kayo,normal,,……！あ、あんた誰？！言っとくけど恋愛とかごめんなんだから！,chapter1_kayo_004,,,
chapter1_kayo_004,doute,normal,,（挨拶は返してくれたのに距離をとられている……！）,chapter1_kayo_005,,,
chapter1_kayo_005,doute,normal,,えっと、恋愛とかは置いといて……,chapter1_kayo_006,,,
chapter1_kayo_006,doute,normal,,ここから出るためにも、一度みんなで集まらないかってことなんだけど来てくれるかな……？,chapter1_kayo_007,,,
chapter1_kayo_007,kayo,normal,,なに不安そうに見てるのよ、そんなの当然……,chapter1_kayo_008,,,
chapter1_kayo_008,kayo,normal,,行くに決まってるでしょ！,chapter1_kayo_009,,,
chapter1_kayo_009,doute,normal,,行くわけないでしょの間のとり方で？！,chapter1_kayo_010,,,
chapter1_kayo_010,kayo,normal,,あんた失礼ねっ！,chapter1_kayo_011,,,
chapter1_kayo_011,kayo,normal,,別にあんたのためじゃなくて……そう！その方がごーりてきだと思っただけなんだから！,chapter1_kayo_012,,,
chapter1_kayo_012,doute,normal,,（合理的がひらがなのような……）,chapter1_kayo_013,,,
chapter1_kayo_013,doute,normal,,じゃあ、またあとで……,chapter1_kayo_014,,,
chapter1_kayo_014,kayo,normal,,ふんっ！……ってきゃあああっ！,chapter1_kayo_015,,,
chapter1_kayo_015,doute,normal,,（秒で転んでるし……抜けてる子なのかな？）,chapter1_kayo_016,,,
chapter1_kayo_016,doute,normal,,えっと、大丈夫？,chapter1_kayo_017,,,
chapter1_kayo_017,kayo,normal,,うっ……あ、ありがと……,chapter1_kayo_018,,,
chapter1_kayo_018,kayo,normal,,またあとでね……,,,,
