lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName
chapter2_moteru_001,moteru,normal,Assets/Art/Backgrounds/white_room.png,僕の自己紹介だね……！僕は凄久モテル、よろしく！,chapter2_moteru_002,,,true
chapter2_moteru_002,doute,normal,,俺は蓮愛ドウテ。趣味はゲーム、血液型はA型、誕生日は1月21日です。よろしくお願いします……！,chapter2_moteru_003,,,
chapter2_moteru_003,moteru,normal,,うん！よろしくね……！さっきは本当にありがとう……！,chapter2_moteru_004,,,
chapter2_moteru_004,doute,normal,,いやいや、俺も動揺してたけど女の子の方がこういうの不安になるだろうし……！モテルちゃんみたいな子に頼りにされたら男の子冥利に尽きるよ！,chapter2_moteru_005,,,
chapter2_moteru_005,moteru,normal,,……？はっその……ごめんっ！,chapter2_moteru_006,,,
chapter2_moteru_006,doute,normal,,？なんでいきなり謝って……,chapter2_moteru_007,,,
chapter2_moteru_007,moteru,normal,,その……僕……なんだ,chapter2_moteru_008,,,
chapter2_moteru_008,doute,normal,,なんて……,chapter2_moteru_009,,,
chapter2_moteru_009,doute,normal,,（モテルちゃんに優しく引き寄せられる）,chapter2_moteru_010,,,
chapter2_moteru_010,doute,normal,,（モテルちゃんの艶やかな唇が耳に寄せられた）,chapter2_moteru_011,,,
chapter2_moteru_011,doute,normal,,…………？！！,chapter2_moteru_012,,,
chapter2_moteru_012,doute,normal,,（いやいやいや、さすがに展開が早すぎるって！でもこんな美少女を突き放すとか無理だろ……！ていうかなんか心なしかいい匂いするし美少女ってすご——）,chapter2_moteru_013,,,
chapter2_moteru_013,moteru,normal,,僕は男なんだ,chapter2_moteru_014,,,
chapter2_moteru_014,doute,normal,,（思考がまるで現実逃避するように停止した）,chapter2_moteru_015,,,
chapter2_moteru_015,doute,normal,,（何秒かいや、何時間かという体感の時間が過ぎてようやく声を発することができた）,chapter2_moteru_016,,,
chapter2_moteru_016,doute,normal,,（まあ、すごく間の抜けた声が出たけれど）,chapter2_moteru_017,,,
chapter2_moteru_017,doute,normal,,…………は？,chapter2_moteru_018,,,
chapter2_moteru_018,doute,normal,,お、とこ？,chapter2_moteru_019,,,
chapter2_moteru_019,moteru,normal,,ごめんなさい……！わかってるものだとばかり思ってて、不快な思いさせたよね……！本当にごめんっ！,chapter2_moteru_020,,,
chapter2_moteru_020,doute,normal,,（そう言って涙目になりながらそうやって何度も頭を下げている姿を見てもあまりに実感がわかない）,chapter2_moteru_021,,,
chapter2_moteru_021,doute,normal,,（これが男とかふざけるなよ神様……！）,chapter2_moteru_022,,,
chapter2_moteru_022,doute,normal,,い、いやびっくりしただけだから！そんなに頭下げないで……！マジで！悪いことした人みたいになるから！,chapter2_moteru_023,,,
chapter2_moteru_023,moteru,normal,,ごめん……ありがとう……！,chapter2_moteru_024,,,
chapter2_moteru_024,moteru,normal,,えっと……恋愛なんてしたことないから、同じく男の子の君がいるのが心強くて……こんな僕だけど仲良くしてくれるかな……？,chapter2_moteru_025,,,
chapter2_moteru_025,doute,normal,,（これは……男とかもうどうでもいいな）,chapter2_moteru_026,,,
chapter2_moteru_026,doute,normal,,当たり前だろっ！モテル……ちゃん、はいらないか,chapter2_moteru_027,,,
chapter2_moteru_027,doute,normal,,これからも俺を頼りにしていいからな！モテルっ！,,,,
