lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName
chapter2_yowashi_001,yowashi,normal,Assets/Art/Backgrounds/white_room.png,この左腕に封印されし悪魔、ベルゼバブが疼いている……刮目せよ！！！,chapter2_yowashi_002,,,
chapter2_yowashi_002,yowashi,normal,,ということでこんにちは、空田ヨワシでーす！よろしく〜,chapter2_yowashi_003,,,true
chapter2_yowashi_003,doute,normal,,（さっきも思ったけど……）,chapter2_yowashi_004,,,
chapter2_yowashi_004,doute,normal,,（とてつもなくキャラが濃い……！）,chapter2_yowashi_005,,,
chapter2_yowashi_005,doute,normal,,お、俺は蓮愛ドウテです。趣味はゲーム、血液型はA型、誕生日は1月21日です。えっと、ヨロシクオネガイシマス……,chapter2_yowashi_006,,,
chapter2_yowashi_006,yowashi,normal,,ドウテくんか！よろしくよろ〜！ご趣味は？！ってもう言ってた〜！合コンセリフを先回りして潰すとはなかなかやるではないか……さすがは我がライバルよ！！,chapter2_yowashi_007,,,
chapter2_yowashi_007,doute,normal,,は、ハハハ……,chapter2_yowashi_008,,,
chapter2_yowashi_008,doute,normal,,（……あれ？）,chapter2_yowashi_009,,,
chapter2_yowashi_009,doute,normal,,ヨワシちゃん包帯が……,chapter2_yowashi_010,,,
chapter2_yowashi_010,doute,normal,,えっ……？,chapter2_yowashi_011,,,
chapter2_yowashi_011,doute,normal,,（ヨワシちゃんの悪魔が封印されているなんて言っていた左腕の包帯が解けて見えた素肌は——）,chapter2_yowashi_012,,,
chapter2_yowashi_012,doute,normal,,（血色が悪いなんてもんじゃないぞ、これ……！）,chapter2_yowashi_013,,,
chapter2_yowashi_013,doute,normal,,（どす黒くて、脈は辛うじて見えるけど血が流れているはずのそこは真っ白だった）,chapter2_yowashi_014,,,
chapter2_yowashi_014,doute,normal,,（厨二病の包帯じゃないのか……？）,chapter2_yowashi_015,,,
chapter2_yowashi_015,doute,normal,,ヨワシちゃん、この腕はいったい……？,chapter2_yowashi_016,,,
chapter2_yowashi_016,yowashi,normal,,我が封印に綻びが！？しぶとい奴め……！再封印が必要だな……ってわけでまたねー！,chapter2_yowashi_017,,,
chapter2_yowashi_017,doute,normal,,あっちょっと……！,chapter2_yowashi_018,,,
chapter2_yowashi_018,doute,normal,,（なんだったんだ……？）,,,,
