lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,affectionChanges,branches,revealSpeakerName,consultationTitle,nextScenePath
chapter3_001,doute,normal,Assets/Art/Backgrounds/white_room.png,（恋人を作れば出られるっていうのが本当かも分からないし、恋愛なんてゲームでしかやったことがないぞ……！）,chapter3_002,,,,,,,,,
chapter3_002,doute,normal,,（カヨさんの言う通り他の脱出方法を探した方が良い気がする……）,chapter3_003,,,,,,,,,
chapter3_003,doute,normal,,（どうしようか……とりあえずプレイヤーさんに相談しようかな）,chapter3_004,,,,,,,,,
chapter3_004,doute,normal,,プレイヤーさん！今までの聞いてましたよねっ？！,chapter3_005,,,,,,,,恋愛をするかしないか,
chapter3_005,doute,normal,,どうしたらいいんだろう……,chapter3_006,,,,,,,,,
chapter3_006,doute,normal,,恋愛をするかしないか……手がかりはもしかしたら他にあるかもだし、無理に決めることもないのかな,chapter3_007,,,,,,,,,
chapter3_007,,,,（この先は物語が選択肢などによって分岐します。こまめなセーブをおすすめします）,,恋愛はしなくてもいい,chapter3_008,恋愛をすべきだ,chapter3_012,,,,,
chapter3_008,doute,normal,,そうですよね！恋愛以外にもこの部屋から出る方法もあるかもしれませんし……恋愛なんて俺には早いですからっ！,chapter3_009,,,,,,,,,
chapter3_009,doute,normal,,（数十年後——俺達はまだこの白い部屋にいる。でもみんながいるしこの部屋は幸いお腹がすくことも眠くなることもない。本棚の本はさすがに読み飽きてきてしまったけれど出る必要は別にない。あぁ、今は何時だったかな……）,chapter3_010,,,,,,,,,
chapter3_010,doute,normal,,……はっ！すみません、ぼーっとしてました！,chapter3_011,,,,,,,,,
chapter3_011,doute,normal,,恋愛をするかしないか……手がかりはもしかしたら他にあるかもだし、無理に決めることもないのかな,chapter3_007,,,,,,,,,
chapter3_012,doute,normal,,それはそうかもしれませんが……,chapter3_013,,,,,,,,,
chapter3_013,doute,normal,,俺は恋愛経験がなくて……他の3人はそんなことないだろうし、厳しいですよ……！,,『4人の特徴』を提示する,chapter3_014,,,,,,,
chapter3_014,,,,▷▶︎▷『4人の特徴』,chapter3_015,,,,,,,,,
chapter3_015,,,,どうやらドウテだけでなく、ほかの3人も恋愛経験はないようだ……,chapter3_016,,,,,,,,,
chapter3_016,doute,normal,,それに脱出方法は他にもあるかもしれないですし！無理することないでしょ……！,,『脱出方法』を提示する,chapter3_017,,,,,,,
chapter3_017,,,,▷▶︎▷『脱出方法』,chapter3_018,,,,,,,,,
chapter3_018,,,,壁はびくともせず、扉に至ってはドアノブがない。現状脱出する方法はなさそうだ。,chapter3_019,,,,,,,,,
chapter3_019,doute,normal,,それにその方法だと男子1女子3で誰か余ることになったら可哀想じゃないですか！,,『凄久モテル』を提示する,chapter3_020,,,,,,,
chapter3_020,,,,▷▶︎▷『凄久モテル』,chapter3_021,,,,,,,,,
chapter3_021,,,,美少女、ではなく美青年。少し気が弱いが率先して場をまとめてくれたりする。いいやつ。,chapter3_022,,,,,,,,,
chapter3_022,doute,normal,,ぐ、ぐうの音も出ない……,chapter3_023,,,,,,,,,
chapter3_023,doute,normal,,脱出方法は見当たらないし……！,chapter3_024,,,,,,,,,
chapter3_024,doute,normal,,モテルは美少女じゃなくて美青年……！ ってことは、男2・女2でペアが作れる……！？,chapter3_025,,,,,,,,,
chapter3_025,doute,normal,,……わかりました！やってやろうじゃないかっ！,chapter3_026,,,,,,,,,
chapter3_026,doute,normal,,で、でもプレイヤーさんも手伝ってくださいね？！ここまで来たら一蓮托生ですから……！,chapter3_027,,,,,,,,,
chapter3_027,doute,normal,,さっきみたいに僕の相談にたまにのってくれると本当に助かります……！焦っているからか判断が難しくて……,chapter3_028,,,,,,,,,
chapter3_028,doute,normal,,とりあえずはお話からですよね……？,,そうだよ,chapter3_029,違うよ,chapter3_030,,,,,
chapter3_029,doute,normal,,そうですよね！,chapter3_031,,,,,,,,,
chapter3_030,doute,normal,,さすがの俺も騙されないですよ……あんまりちょけすぎたらBADいきそうで怖いので頼みますからねっ？！,chapter3_031,,,,,,,,,
chapter3_031,doute,normal,,ひとまず誰から話しかけようかな……？,,,,,,,,,,Assets/Scenes/GameMap/SelectionPart.unity
