lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_kayo_4_001,doute,normal,Assets/Art/Backgrounds/white_room.png,ぐぅどころかぐの音も出ない……！,chapter_kayo_4_002,,,,,,,,
chapter_kayo_4_002,doute,normal,,幼少期は今みたいなドジっ子じゃなかった……たしかにその通りです！,chapter_kayo_4_003,,,,,,,,
chapter_kayo_4_003,doute,normal,,………………！,chapter_kayo_4_004,,,,,,,,
chapter_kayo_4_004,doute,normal,,そうか……！逆なんですねっ！？,chapter_kayo_4_005,,,,,,,,
chapter_kayo_4_005,doute,normal,,カヨちゃんのドジが治らないのは頑張りが足りないんじゃない、頑張りすぎてたんだ！,chapter_kayo_4_006,,,,,,,,
chapter_kayo_4_006,doute,normal,,カヨちゃんはきっと頑張りすぎて調子が悪くなっちゃったんだ……！,chapter_kayo_4_007,,,,,,,,
chapter_kayo_4_007,doute,normal,,そうなると、今すぐカヨちゃんのとこに行かないと……！,chapter_kayo_4_008,,,,,,,,
chapter_kayo_4_008,doute,normal,,…………？日記の文字が歪んで……,chapter_kayo_4_009,,,,,,,,
chapter_kayo_4_009,doute,normal,,（日記の文字の歪みは徐々に大きくなり、ついには読めなくなってしまった）,chapter_kayo_4_010,,,,,,,,
chapter_kayo_4_010,doute,normal,,いったい何が……ってうわぁっ！？,chapter_kayo_4_011,,,,,,,,
chapter_kayo_4_011,,,,（突然、地面が大きく揺れて天井の一部が落ちてきた。）,chapter_kayo_4_012,,,,,,,,
chapter_kayo_4_012,moteru,normal,,危ないっ！！ドウテくん、大丈夫？,chapter_kayo_4_013,,,,,,,true,
chapter_kayo_4_013,doute,normal,,う、うん！一体何が？！,chapter_kayo_4_014,,,,,,,,
chapter_kayo_4_014,moteru,normal,,説明してる時間はないんだ……！とりあえず扉に急ごうっ！,chapter_kayo_4_015,,,,,,,,
chapter_kayo_4_015,,,,（モテルに連れられて部屋のドアの所へ来るとドアはなぜか開いていた。）,chapter_kayo_4_016,,,,,,,,
chapter_kayo_4_016,doute,normal,,なっ……！,chapter_kayo_4_017,,,,,,,,
chapter_kayo_4_017,moteru,normal,,ここなら安全かな。説明するとさっきカヨさんがヨワシさんを介抱してるときにどうやら手を滑らせて本棚の後ろにあったらしいボタンを押しちゃったみたいで……そしたら急に部屋が崩れたんだ！,chapter_kayo_4_018,,,,,,,,
chapter_kayo_4_018,doute,normal,,そ、それって……2人はどうなってるんだ？！,chapter_kayo_4_019,,,,,,,,
chapter_kayo_4_019,moteru,normal,,分からない……運悪く瓦礫に分断されちゃってカヨさんに先に逃げててって言われてこっちに来たけど……,chapter_kayo_4_020,,,,,,,,
chapter_kayo_4_020,,,,（嫌な想像に冷たい汗が背中を流れた。）,chapter_kayo_4_021,,,,,,,,
chapter_kayo_4_021,doute,normal,,……俺、探しに行ってくる！,chapter_kayo_4_022,,,,,,,,
chapter_kayo_4_022,moteru,normal,,ドウテくんっ！,,,,,,,,,
