lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_moteru_5_001,doute,normal,Assets/Art/Backgrounds/white_room.png,な、なんとか日記を守れたぞ……！,chapter_moteru_5_002,,,,
chapter_moteru_5_002,doute,normal,,とはいえ、どうするのが正解なんだ……？詰んだか？,chapter_moteru_5_003,,,,
chapter_moteru_5_003,,,,隙ありっ！,chapter_moteru_5_004,,,,
chapter_moteru_5_004,doute,normal,,うわっ！って日記がない……！モテルっ！返して…………って,chapter_moteru_5_005,,,,
chapter_moteru_5_005,doute,normal,,ヨワシちゃんっ？！それに、カヨちゃんも……！,chapter_moteru_5_006,,,,
chapter_moteru_5_006,yowashi,normal,,やあやあ、ドウテ氏なかなかおもしろいものを持っているではないか！,chapter_moteru_5_007,,,,
chapter_moteru_5_007,doute,normal,,いやいやいやいや、なに勝手にとってるの？！ていうかなぜ？！,chapter_moteru_5_008,,,,
chapter_moteru_5_008,kayo,normal,,この狭い部屋であんだけさわげば気付くにきまってるでしょ……！別に心配なんてしてないけどあんなふうにされると、そうっ！気になるの！,chapter_moteru_5_009,,,,
chapter_moteru_5_009,yowashi,normal,,そうそう、カヨちゃんが心配してたからさ〜。そ・れ・に私たちがくっついた後におふたりさんが泥沼昼ドラを展開してたら申し訳ないであろう？,chapter_moteru_5_010,,,,
chapter_moteru_5_010,doute,normal,,くっつい……え、ん？はぁ？！,chapter_moteru_5_011,,,,
chapter_moteru_5_011,kayo,normal,,そ、そんなに驚くことないでしょ？！たしかにわたしじゃ吊り合わないかもだけど……,chapter_moteru_5_012,,,,
chapter_moteru_5_012,yowashi,normal,,あー！ドウテくんがカヨちゃん泣かせたっ！この悪役っ、噛ませ犬、鈍感主人公っ！いやむしろ恋愛童貞っ！！,chapter_moteru_5_013,,,,
chapter_moteru_5_013,,,,ど、ど、どどっ童貞ちゃうわっ！」「なっ泣いてないわよっ！,chapter_moteru_5_014,,,,
