lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,choice3Text,choice3NextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_yowashi_5_001,,,,翌日……,chapter_yowashi_5_002,,,,,,,,,,
chapter_yowashi_5_002,doute,normal,,（朝起きたらすぐヨワシちゃんに呼ばれて部屋の真ん中に集まった。どうやらみんなも呼ばれているみたいだ。）,chapter_yowashi_5_003,,,,,,,,,,
chapter_yowashi_5_003,yowashi,normal,,やあやあ諸君！元気していたかね？,chapter_yowashi_5_004,,,,,,,,,,
chapter_yowashi_5_004,doute,normal,,変わらず快調です、ヨワシ様,chapter_yowashi_5_005,,,,,,,,,,
chapter_yowashi_5_005,moteru,normal,,……？\nあ、僕も元気だよ,chapter_yowashi_5_006,,,,,,,,,,
chapter_yowashi_5_006,kayo,normal,,わ、私も元気だけど……,chapter_yowashi_5_007,,,,,,,,,,
chapter_yowashi_5_007,yowashi,normal,,うむ、それは苦しゅうない！じゃあ4人とも、テニスやろっか！,chapter_yowashi_5_008,,,,,,,,,,
chapter_yowashi_5_008,doute,normal,,え？テニス？,chapter_yowashi_5_009,,,,,,,,,,
chapter_yowashi_5_009,yowashi,normal,,うん、テニスの女王様って漫画面白いじゃん？前からやってみたくてさ〜,chapter_yowashi_5_010,,,,,,,,,,
chapter_yowashi_5_010,doute,normal,,じゃあやってみよっか！2人はどう？,chapter_yowashi_5_011,,,,,,,,,,
chapter_yowashi_5_011,moteru,normal,,ドウテくんがやるなら僕もやろうかな。テニスはやったことないんだけど……,chapter_yowashi_5_012,,,,,,,,,,
chapter_yowashi_5_012,kayo,normal,,3人がやるなら私も……べ、別にやりたいってわけじゃないんだからね！！,chapter_yowashi_5_013,,,,,,,,,,
chapter_yowashi_5_013,yowashi,normal,,じゃあすぐやろう！！チームは私とドウテくん、カヨちゃんとモテルくんでいい？,chapter_yowashi_5_014,,,,,,,,,,
chapter_yowashi_5_014,,,,ドウテ＆モテル＆カヨ「いいよ！」「大丈夫」「し、仕方ないわね！」,chapter_yowashi_5_015,,,,,,,,,,
chapter_yowashi_5_015,doute,normal,,よし、ヨワシちゃん一緒に頑張ろう！\n昨日かなり息切れしてたけど体調は大丈夫そう？,chapter_yowashi_5_016,,,,,,,,,,
chapter_yowashi_5_016,yowashi,normal,,もちのろんですよ！！たっぷり休んだし、何よりドウテくんもいるしね〜,chapter_yowashi_5_017,,,,,,,,,,
chapter_yowashi_5_017,doute,normal,,え、それってどういう……,chapter_yowashi_5_018,,,,,,,,,,
chapter_yowashi_5_018,yowashi,normal,,さ、あの2人も盛り上がってるし、早速始めよ〜！,chapter_yowashi_5_019,,,,,,,,,,
chapter_yowashi_5_019,doute,normal,,（初めてやったテニスはとても楽しかった。みんな初めてだったみたいでぎこちなかったけれど、それでも女の友達とスポーツをするという初めての経験もあいまってとても楽しかった。みんな笑顔だ。）,chapter_yowashi_5_020,,,,,,,,,,
chapter_yowashi_5_020,doute,normal,,（あれ、そういえばヨワシちゃんがやけに静かじゃないか？いつもはあんなに元気にはしゃいでるのに……）,chapter_yowashi_5_021,,,,,,,,,,
chapter_yowashi_5_021,yowashi,normal,,…………,chapter_yowashi_5_022,,,,,,,,,,
chapter_yowashi_5_022,doute,normal,,ヨワシちゃん大丈夫？めっちゃ息切れしてるけど……,chapter_yowashi_5_023,,,,,,,,,,
chapter_yowashi_5_023,yowashi,normal,,…………,chapter_yowashi_5_024,,,,,,,,,,
chapter_yowashi_5_024,doute,normal,,ヨ、ヨワシちゃん……？,chapter_yowashi_5_025,,,,,,,,,,
chapter_yowashi_5_025,,,,（突然ヨワシちゃんがパタリと倒れた。）,chapter_yowashi_5_026,,,,,,,,,,
chapter_yowashi_5_026,kayo,normal,,ヨ、ヨワシ！？大丈夫！？,chapter_yowashi_5_027,,,,,,,,,,
chapter_yowashi_5_027,moteru,normal,,カヨさんそんなに走ると危ないよ！,chapter_yowashi_5_028,,,,,,,,,,
chapter_yowashi_5_028,,,,（とモテルが言い終わる前にカヨちゃんが本棚に思いっきりぶつかり、カチリという音がして本棚がカヨちゃんの方に倒れ込んできた）,chapter_yowashi_5_029,,,,,,,,,,
chapter_yowashi_5_029,moteru,normal,,カヨさん大丈夫！？意識あるなら何か返事して！,chapter_yowashi_5_030,,,,,,,,,,
chapter_yowashi_5_030,kayo,normal,,わ、私は大丈夫……それよりヨワシは……ヨワシは大丈夫なの……？,chapter_yowashi_5_031,,,,,,,,,,
chapter_yowashi_5_031,doute,normal,,少なくともさっきので怪我とかはしてないよ。だけどこれじゃ……どうすれば！！！,chapter_yowashi_5_032,,,,,,,,,,
chapter_yowashi_5_032,,,,（暗転）,chapter_yowashi_5_033,,,,,,,,,,
chapter_yowashi_5_033,,,,一回状況を整理しよう,chapter_yowashi_5_034,,,,,,,,,,
chapter_yowashi_5_034,doute,normal,,整理してる暇なんて！みんな危ない状況なんですよ！,chapter_yowashi_5_035,,,,,,,,,,
chapter_yowashi_5_035,,,,僕は特別な存在だから。僕と話してる間は時間は進まないよ。,chapter_yowashi_5_036,,,,,,,,,,
chapter_yowashi_5_036,doute,normal,,そ、そうなんですか……じゃあひとまず、ヨワシちゃんが倒れたのって……,chapter_yowashi_5_037,,,,,,,,,,
chapter_yowashi_5_037,doute,normal,,ヨワシちゃんが倒れた原因につながる情報は？,,ヨワシちゃんは息切れしやすい,chapter_yowashi_5_038,医学書の内容,chapter_yowashi_5_037,ヨワシの好きな漫画,chapter_yowashi_5_037,,,,
chapter_yowashi_5_038,doute,normal,,なるほど、確かに普段から息切れしてましたね……\nじゃあ今のヨワシちゃんには何をしてあげれば！？,chapter_yowashi_5_039,,,,,,,,,,
chapter_yowashi_5_039,doute,normal,,今のヨワシちゃんを助けるために必要な情報は？,,ヨワシの好きな漫画,chapter_yowashi_5_039,医学書の内容,chapter_yowashi_5_040,ヨワシの腕の包帯,chapter_yowashi_5_039,,,,
chapter_yowashi_5_040,doute,normal,,そうか、あの本！もしかしてあそこにあった内容さえあれば、応急措置ができる？,chapter_yowashi_5_041,,,,,,,,,,
chapter_yowashi_5_041,,,,おそらくね。あとは頑張ってね,chapter_yowashi_5_042,,,,,,,,,,
chapter_yowashi_5_042,doute,normal,,待ってください、カヨちゃんは……,chapter_yowashi_5_043,,,,,,,,,,
chapter_yowashi_5_043,,,,そっちはきっと大丈夫だよ,chapter_yowashi_5_044,,,,,,,,,,
