lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_yowashi_6_001,doute,normal,,ヨワシちゃん聞こえる？大丈夫？,chapter_yowashi_6_002,,,,,,,,
chapter_yowashi_6_002,yowashi,normal,,……,chapter_yowashi_6_003,,,,,,,,
chapter_yowashi_6_003,doute,normal,,ヨワシちゃん！！！,chapter_yowashi_6_004,,,,,,,,
chapter_yowashi_6_004,yowashi,normal,,ドウテくん……,chapter_yowashi_6_005,,,,,,,,
chapter_yowashi_6_005,doute,normal,,ヨワシちゃん！！,chapter_yowashi_6_006,,,,,,,,
chapter_yowashi_6_006,yowashi,normal,,信じてたよ、ドウテくん,chapter_yowashi_6_007,,,,,,,,
chapter_yowashi_6_007,moteru,normal,,ドウテくん！ヨワシさん！大丈夫？,chapter_yowashi_6_008,,,,,,,,
chapter_yowashi_6_008,doute,normal,,モテル！そっちこそ大丈夫か？,chapter_yowashi_6_009,,,,,,,,
chapter_yowashi_6_009,moteru,normal,,うん、なんとか大丈夫だったよ。ただ、部屋がひび割れてきてる。カヨさんも歩けるそうだから、一緒に逃げよう,chapter_yowashi_6_010,,,,,,,,
chapter_yowashi_6_010,doute,normal,,おう！\nヨワシちゃん、立てそう……？,chapter_yowashi_6_011,,,,,,,,
chapter_yowashi_6_011,yowashi,normal,,むりだから……おんぶして……,chapter_yowashi_6_012,,,,,,,,
chapter_yowashi_6_012,doute,normal,,！！\nが、頑張ります！,chapter_yowashi_6_013,,,,,,,,
chapter_yowashi_6_013,doute,normal,,（初めて背負った女の子は、とてもとても軽かった。）,chapter_yowashi_6_014,,,,,,,,
chapter_yowashi_6_014,yowashi,normal,,ドウテくん……背中に乗ってる私が……いうのはあれなんだけど……これってなんだか……漫画のワンシーン……みたいじゃない？,chapter_yowashi_6_015,,,,,,,,
chapter_yowashi_6_015,doute,normal,,確かに。漫画だとこのあと……,chapter_yowashi_6_016,,,,,,,,
chapter_yowashi_6_016,doute,normal,,（はっ。このあと告白する流れでは？いやでも流石に会ったばっかりだし……）,chapter_yowashi_6_017,,,,,,,,
chapter_yowashi_6_017,yowashi,normal,,このあとなーに？私、期待しちゃうかも〜,chapter_yowashi_6_018,,,,,,,,
chapter_yowashi_6_018,doute,normal,,うぐっ。そういうの俺初めてだから……ちゃんとしたのはまた今度しようと思ってたんだけど……,chapter_yowashi_6_019,,,,,,,,
chapter_yowashi_6_019,yowashi,normal,,いいのいいの、こういうのはなんぼ言ってもいいんですから〜,chapter_yowashi_6_020,,,,,,,,
chapter_yowashi_6_020,doute,normal,,わかったよ,chapter_yowashi_6_021,,,,,,,,
chapter_yowashi_6_021,doute,normal,,ヨワシちゃん。俺はあなたのことが好きです。付き合ってください！,chapter_yowashi_6_022,,,,,,,,
chapter_yowashi_6_022,yowashi,normal,,……,chapter_yowashi_6_023,,,,,,,,
chapter_yowashi_6_023,doute,normal,,えっ、ヨワシちゃん、どうしたの？泣いてる！？,chapter_yowashi_6_024,,,,,,,,
chapter_yowashi_6_024,yowashi,normal,,私も……初めてだったの。\nドウテくん、私も好きだよ,,,,,,,,,
